Category: All categories

Week,NFT: (Worldwide)
2021-04-25,22
2021-05-02,16
2021-05-09,13
2021-05-16,11
2021-05-23,12
2021-05-30,9
2021-06-06,8
2021-06-13,7
2021-06-20,7
2021-06-27,5
2021-07-04,5
2021-07-11,7
2021-07-18,7
2021-07-25,8
2021-08-01,10
2021-08-08,14
2021-08-15,14
2021-08-22,25
2021-08-29,31
2021-09-05,25
2021-09-12,22
2021-09-19,21
2021-09-26,20
2021-10-03,24
2021-10-10,28
2021-10-17,28
2021-10-24,33
2021-10-31,43
2021-11-07,48
2021-11-14,50
2021-11-21,46
2021-11-28,53
2021-12-05,55
2021-12-12,69
2021-12-19,63
2021-12-26,59
2022-01-02,77
2022-01-09,83
2022-01-16,100
2022-01-23,98
2022-01-30,84
2022-02-06,71
2022-02-13,61
2022-02-20,49
2022-02-27,39
2022-03-06,35
2022-03-13,39
2022-03-20,39
2022-03-27,37
2022-04-03,37
2022-04-10,39
2022-04-17,32
