Category: All categories
"NFT: (4/24/21 - 4/24/22, South Korea)"

TOP
Non-fungible token,100
Coin,11
Metaverse,2
OpenSea,2
Meta,2
Ethereum,2
OpenSea,1
Exchange,1
Marketplace,1
Cryptocurrency,1
Oh Hyun-min,<1
MIR4,<1
Apes,<1
Axie Infinity,<1
Cyber Dragon,<1
Federal Tax Service,<1
Intellectual property,<1
Lee Duhui,<1
Whitelisting,<1
AirDrop,<1
Korbit,<1

RISING
Oh Hyun-min,Breakout
MIR4,Breakout
Apes,Breakout
Axie Infinity,Breakout
Cyber Dragon,Breakout
Federal Tax Service,Breakout
Intellectual property,Breakout
Lee Duhui,Breakout
Whitelisting,Breakout
AirDrop,Breakout
Korbit,Breakout
Marketplace,+100%
OpenSea,+70%
OpenSea,+60%

